clave,descripcion
1,"Funcionarios, directores y jefes"
2,Profesionistas y tÃ©cnicos
3,Trabajadores auxiliares en actividades administrativas
4,"Comerciantes, empleados en ventas y agentes de ventas"
5,Trabajadores en servicios personales y vigilancia
6,"Trabajadores en actividades agrÃ­colas, ganaderas, forestales, caza y pesca"
7,"Trabajadores artesanales, en la construcción y otros oficios"
8,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte"
9,Trabajadores en actividades elementales y de apoyo
10,Busca trabajo
11,No trabaja
98,Insuficientemente especificada
99,No especificada
